@relation degerlendirme

@attribute text  String
@attribute degerlendirme   {neg,pos,nm}
@Data

'bu entry nin girildiği tarih itibariyle word assistant ı 24.900.000 tl + kdv yerine 9.900.000 tl (kdv dahil) fiyattan satan, kadıköy ve kozyatağı nda şubesi bulunan teknoloji market.',pos
'dün kadıköydeki şubesine gittiğimde bana 256mb ddr rami kdv dahil 50$ a vereceğini söyleyip heyecanlandıran ama sonra kalmadığını söyleyerek hayalkırıklığına uğratan şirket...',neg
'1984 yilinda kurulan, açilimi bursa import eksport olan, bursa merkezli, gümrük müsavirligi firmasi. sirket aldigi tir filosu ile 2003 yili itibari ile uluslararasi lojistik hizmetine de baslamistir. http://www.bimekslojistik.com/',nm
'borland ürünleri türkiye distribütörü. merkezi yenisahra dadır. http://www.bimeks.com.tr/ bemiks isimli ilacın kutusundaki font ile firmanın logosunun fontunun aynı olması da ilginç bir detay.',nm
'(bkz: bmx) in çocukken ki telafuz şekli. ',nm
'sahibi vedat akgiraydir. ',nm
'çalışanları musteri memnuniyetini ilke edinmiş ve içerideki hemen herkesin durmadan gulumsedigine bizzat şahit oldugum tekno-market.. çok başarılı.. takdir edilesi.. ',pos
'diğer çoğu elektronik mağazası ürünleri alarmlı camekanlar içine koyup elimize alıp görmek istediğimizde imalı hareketlerle suratlarını buruşturarak kilidi açarken, bu mağazada* tüm dizüstü bilgisayarlar açık durur ve incelemenize izin verilir. ayrıca hepsinin de konfigürasyonu hakkında karşılaştırmalı bilgi veren canayakın satış görevlileri mevcuttur. fiyatları da teknosa, gold veya vatan dan farklı değildir. ',pos
'daha bugün stoklarına girmiş olan yeni nesil ipod un fiyatını sormamdan hemen sonra satış elemanının talep etmediğim ve beklemediğim halde vitrindeki kutulardan birini açıp ürünü test etmemi sağlamasıyla gönlümü kazanmış olan kuruluş.',pos
'kapsama alanında bulunduğu haller dışında(il hudutları içindeyse atlayın otobüse kamyona traktöre varın gidin emin olun harcanan yol parasına değecektir) kesinlikle ama kesinlikle teknosa ve türevleri ile ikame edilmemesi gereken elektronik mağazalar zinciri. oyuncakçı, bilgisayarcı ve türevi.',pos
'türkiye nin en iyi ve belki de yegane iyi teknoloji marketi. her açıdan...',pos
'1990 yılında kurulan; istanbul, izmir, ankara, adana, bursa, konya ve mersin de şubeleri bulunan mağazalar zinciri... her tür bilgisayar donanımının yanı sıra cep telefonları, dijital kamera ve fotoğraf makineleri gibi elektronik ürünleri de satıyorlar.',pos
'yakın geçmiş zamanda mağaza zincirlerine izmir bornova ve antalya mağazalarını ekleyen kuruluş. bu son ikisi ile birlike toplam mağaza sayısı 17 olmuş.',nm
'çok yakında ankara akköprü ve kayseri de de mağazaları açılacak olan kuruluş.',nm
