@RELATION degerlendirme
@ATTRIBUTE text  String
@ATTRIBUTE degerlendirme   {neg,pos,nm}
@Data

'bu entry nin gir tarih itibari word assistant ı 24.900.000 tl + kdv yerin 9.900.000 tl (kdv dahil fiyat sat kadıköy ve kozyatağı nda şube bulun teknoloji market ',pos
'dün kadıköydeki şube git ben 256mb ddr rami kdv dahil 50$ a ver söyle heyecanlan ama sonra kal söyle hayalkırıklığına uğrat şirket ',neg
'1984 yilinda kurula açilimi burs import eksport ol burs merkez gümrük müsavirligi firmasi. sirket aldigi tir filo ile 2003 yili itibari ile uluslararasi lojistik hizmet de baslamistir. http://www.bimekslojistik.com/ ',nm
'borland ürün türkiye distribütör merkezi yenisahra da http://www.bimeks.com.tr/ bemiks isim ilaç kutu font ile firma logos font aynı ol da ilginç bir detay ',nm
'(bkz: bmx) in çocuk ki telafuz şekli ',nm
'sahip vedat akgiraydir. ',nm
'çalış musteri memnuniyet ilke edin ve içeri hemen herkes dur gulumsedigine bizzat şahit oldugum tekno-market.. çok başarı takdir et ',pos
'diğer çoğu elektronik mağaza ürün alarm camekan için koy el al gör iste ima hareket surat buruştur kilit açar bu mağaza tüm dizüstü bilgisayar açık dur ve incele izin ver ayrıca hepsi de konfigürasyonu hak karşılaş bilgi vere canayakın satış görev mevcut fiyat da teknosa, gold veya vatan dan fark değil ',pos
'daha bugün stok gir ol yeni nesil ipod un fiyat sor hemen sonra satış eleman talep et ve bekle hal vitrin kutu biri aç ürün test et sağla gönül kazan ol kur ',pos
'kapsam alan bulun hal dışında(il hudut içinde atla otobüs kamyon traktör var gidi emin ol harca yol para değ kesin ama kesin teknosa ve türev ile ikame et gerek elektronik mağaza zincir oyuncak bilgisayar ve türev ',pos
'türkiye nin en iyi ve belki de yegane iyi teknoloji market her açı ',pos
'1990 yıl kurula istanbul, izmir, ankara, ada burs konya ve mersin de şube bulun mağaza zincir her tür bilgisayar donanım yan sıra cep telefon dijital kamera ve fotoğraf makine gibi elektronik ürün de sat ',pos
'yakın geçmiş zaman mağaza zincir izmir bornova ve antalya mağaza ekle kur bu son iki ile birlike toplam mağaza sayı 17 ol ',nm
'çok yakın ankara akköprü ve kayser de de mağaza aç ol kur ',nm
'fiyat piyasa fazla ama büyük hacim bilgisayar teknoloji ürün satıcı ile mukayese et iyi bir yer say en azı hızlı sistem ve teknosa dan çok daha iyi hatta bazı ürün piyasa ile aynı fiyatla al iyi bir kampanya denk gel piyasa ucuz bile alın ayrıca garanti sıkıntı da pek ol bu teknosa da ol güzel ezcümle bayi şube gör gir gez zarar gel bir kur bimeks. yalnız sözlük oku yetki var mı bil dil var bir a klıevvel.. web site durum iç acı mesela apple ürün sat ama web site apple ile ilgi bir bilgi bul ara motor apple yazın sadece iki sonuç gel oysa satış merkez birçok apple ürün var çok vahim internet site hal çok umar yakın zaman el at ezik internet site toparla ',pos
'ds satı al iste aile daha pahalı ürün ol pspyi sat için  bırak diğer 5 yaş çocuk için o  de çalış sahip mekan ',neg
