@RELATION konu
@ATTRIBUTE text  String
@ATTRIBUTE konu   {fiyat,kargo,urun,ssh,personel,magaza,reklam,websitesi,yok}
@Data
'?aylardır çeşitli bilişim dergilerinde ek bir dergicikle reklam yapan kuruluş.',reklam
'etkileyici görüntülü bir showroom u olan bilgisayar firması. genelde aradığınız parçaları bulmanız ise zor malesef. amd tbredler, volcano coolerlar olmadıktan sonra neyleyim öyle showroomu. 164 ekran plazma tv almaya gitmiormki.',urun
'5 euroya 100 tane içine cd sığmıyan  cd zarfı  satmış efsane firma... içine cd sığmıyan cd zarfı ise oldukça ilginç..',fiyat
'topkapidan sonra bostancida da hiperstore adinda geni$ bir sati$ merkezi acarak buyumeyi hizlandirmi$ fakat online sati$ uzerine hicbir yatirim yapmayan firma.',magaza
'sahibi (bkz: hasan vatan) olan şirket',yok
'bugun hatları kapandığı için kredi kartıyla alışveriş yapmak için hatların düzelmesini bekleyen müşterilerin oluşturduğu kuyrukla dolan dükkana sahip firma. 45 dakika para verebilmek için bekledim, ordan biliyorum. internet sitelerinde de uzun zamandır  yakında...  yazıyo.',magaza
'şu aralar bütün ürünlerine peşin fiyata 12 ay taksit yapan bilgisayar hiperstoru.',fiyat
'hakkında çok olumlu şeyler söyleyemeyeceğim firma. ne zaman almak istediğim parça hakkında araştırma yapıp bir marka modelde karar kılsam ve fiyat listelerinde aradığım parçayı bulup alışverişe gitsem stoklarında istediğim parçanın olmadığını görüyorum. internet şubesinden stokları takip edememek ayrı bir dertken, arayıp sorduğunuzda da doğru düzgün sizi anlayıp yanıt verebilecek bir muhattap bulamadığınız için önceden kontrol etmekte mümkün olmuyor. satış temsilcileri müşteriye nasıl davranacağını, nasıl konuşacağını bilmiyor yada iplemiyor. her gelene istedikleri parçayı satabileceklerini sanıyorlar. hoş, alacağı şey hakkında bilgi sahibi olmadan gidenlere bol bol satış yapıyorlar kesin. bir şubesi evime çok yakın olmasa ve piyasadan biraz daha yüksek olan fiyatlarını birsürü yol gidip gelmeye tercih etmesem hiç uğramayacaktım ama işte talihsizlik oldu muhattap olmak zorunda kaldım. online alışveriş gibisi yoktur diyerekten entryi bitirirken, küçüklerin gözlerinden büyüklerin ellerinden öpüyorum.',fiyat
'bostancışubesinin üst katında bedava çay içebileceğiniz yer.diğer şubesinde oluyor mu bilmiyorum. çok sabırlı elemanlara sahip olan ve her müşteriye en az 2 görevli düşen mağaza...',personel
'finans kartın olmadığı sürece vade farkından dolayı ekstra yüz milyonlar ödeyeceğin hafif kazıkçı kuruluş',fiyat
