@RELATION firma
@ATTRIBUTE text  String
@ATTRIBUTE firmaxox   {bimeks,istBilisim,mediaMarkt,teknosa,vatanBilgisayar,yok}
@Data

'bu entry nin girildiği tarih itibariyle word assistant ı 24.900.000 tl + kdv yerine 9.900.000 tl (kdv dahil) fiyattan satan, kadıköy ve kozyatağı nda şubesi bulunan teknoloji market.',yok
'dün kadıköydeki şubesine gittiğimde bana 256mb ddr rami kdv dahil 50$ a vereceğini söyleyip heyecanlandıran ama sonra kalmadığını söyleyerek hayalkırıklığına uğratan şirket...',yok
'1984 yilinda kurulan, açilimi bursa import eksport olan, bursa merkezli, gümrük müsavirligi firmasi. sirket aldigi tir filosu ile 2003 yili itibari ile uluslararasi lojistik hizmetine de baslamistir. http://www.bimekslojistik.com/',yok
'borland ürünleri türkiye distribütörü. merkezi yenisahra dadır. http://www.bimeks.com.tr/ bemiks isimli ilacın kutusundaki font ile firmanın logosunun fontunun aynı olması da ilginç bir detay.',yok
'(bkz: bmx) in çocukken ki telafuz şekli.',yok
'sahibi vedat akgiraydir.',yok
'çalışanları musteri memnuniyetini ilke edinmiş ve içerideki hemen herkesin durmadan gulumsedigine bizzat şahit oldugum tekno-market.. çok başarılı.. takdir edilesi..',yok
'diğer çoğu elektronik mağazası ürünleri alarmlı camekanlar içine koyup elimize alıp görmek istediğimizde imalı hareketlerle suratlarını buruşturarak kilidi açarken, bu mağazada* tüm dizüstü bilgisayarlar açık durur ve incelemenize izin verilir. ayrıca hepsinin de konfigürasyonu hakkında karşılaştırmalı bilgi veren canayakın satış görevlileri mevcuttur. fiyatları da teknosa, gold veya vatan dan farklı değildir.',teknosa
'daha bugün stoklarına girmiş olan yeni nesil ipod un fiyatını sormamdan hemen sonra satış elemanının talep etmediğim ve beklemediğim halde vitrindeki kutulardan birini açıp ürünü test etmemi sağlamasıyla gönlümü kazanmış olan kuruluş.',yok
'kapsama alanında bulunduğu haller dışında(il hudutları içindeyse atlayın otobüse kamyona traktöre varın gidin emin olun harcanan yol parasına değecektir) kesinlikle ama kesinlikle teknosa ve türevleri ile ikame edilmemesi gereken elektronik mağazalar zinciri. oyuncakçı, bilgisayarcı ve türevi.',teknosa
'türkiye nin en iyi ve belki de yegane iyi teknoloji marketi. her açıdan...',yok
'1990 yılında kurulan; istanbul, izmir, ankara, adana, bursa, konya ve mersin de şubeleri bulunan mağazalar zinciri... her tür bilgisayar donanımının yanı sıra cep telefonları, dijital kamera ve fotoğraf makineleri gibi elektronik ürünleri de satıyorlar.',yok
'yakın geçmiş zamanda mağaza zincirlerine izmir bornova ve antalya mağazalarını ekleyen kuruluş. bu son ikisi ile birlike toplam mağaza sayısı 17 olmuş.',yok
'çok yakında ankara akköprü ve kayseri de de mağazaları açılacak olan kuruluş.',yok
'fiyatları piyasadan* fazladır ama büyük hacimli bilgisayar, teknoloji ürünleri satıcıları ile mukayese edildiğinde, iyi bir yerde sayılabilir; en azından hızlı sistem ve teknosa dan çok daha iyidir. hatta bazı ürünleri, piyasa ile aynı fiyatla alabilirsiniz, iyi bir kampanyaya denk gelindiğinde piyasadan ucuza bile alınabilir. ayrıca garanti sıkıntısı da pek olmaz, bunlar teknosa da olmayacak güzelliklerdir. ezcümle, bayisi, şubesi görüldüğünde girmekten, gezmekten zarar gelmeyen bir kuruluştur bimeks. yalnız, sözlük okuyan yetkilisi var mı bilmiyorum, dilerim vardır bir a klıevvel.. web sitelerinin durumu içler acısı; mesela apple ürünleri satıyorlar ama web sitelerinde apple ile ilgili bir bilgi bulamadım. arama motorlarına apple yazınca sadece iki sonuç geliyor, oysa satış merkezlerinde birçok apple ürünü var. çok vahim internet sitelerinin hali çok.. umarım yakın zamanda el atıp, ezik internet sitelerini toparlarlar.',bimeks
'ds satın almak isteyen aileye daha pahalı ürün olan pspyi satmak için  bırakın diğerini 5 yaşında çocuklar için o  diyebilen çalışanlara sahip mekan.',yok
'kataloglarinda yaptiklari yanlisliklari  evet, yanlis o hehe  yuzsuzluguyle musterilerine aciklayan firma. canon eos 30d fiyatini 173 ytl carpi 12 taksit demisler, bi de yanina yaklasik 400 ytllik flash hediye olarak veriyolarmis. urun fiyatinin yarisi ediyor yaklasik. bimekse kadar bosu bosuna hic yorulmayin.',yok
'gün itibariyle mağazalardaki creative zen vision m modeli kdv dahil 510ytl dir ki aynı ürünün teknosa fiyatı 1080ytl dir. koşmak ve stoklar bitmeden tüketmek lazımdır. edit: bazı arkadaşlar beni düzelttiler ürünün 1000dolar+kdv lik alışverişle geçerli olduğu konusunda. ama malesef yanılıyorlar. ürün herhangi bir şart gerektirmeden o fiyata inmiştir gün itibariyle saat 10:00 da. şu an evden çıkarsanız belki bulma şansınız var ürünü. stoklar sınırlı sayıda.',teknosa
'an itibariyle internet sitesi çalışmayan  teknoloji  marketi...',yok
'bornova forum ismi ile bornova daki ikinci mağazası da açılmış, yine pek yakında maslak ve yeşilköy mağazaları hizmete girecek olan kuruluş.',yok
'şu ana kadar aldığım bütün ürünleri (evet, bütün) arızalı çıkan garip mağazalar zinciri. müşteriye karşı anlayışlı olmaları bu gerçeği değiştirmiyor.',yok
'gün itibariyle diğer teknoloji mağazalarında 250$+kdv gibi bir fiyata satılan ürünü 199$+kdv ye satmaktadırlar. buyrun linki: http://www.bimeks.com.tr/…tions.jsp?promotionid=576 buyrun ürün: (bkz: dell e196fp)',yok
'99 gün boyunca 99 ürüne çok cazip indirimler yapacak olan firma, son 2 haftadır yaptıkları indirimler gerçekten taktire değer olduğundan takip edilesi kampanyadır.',yok
'ne web sitesi çalışıyor, ne yeni açılan teknoport denen mağazasının telefonları çalışıyor, ne online çağrı merkezi cevap veriyor, ne oldu acaba kapattılar gittiler mi?',yok
'süper evropai bir yer. türk lirası üzerinden fiyatlar bile bulunmuyor.',yok
'(bkz: bimeks teknoport)',bimeks
'web arayuzu uzerinden calisan otomasyon sistemleri olsun, magazalarda calisan reyon sorumlulari olsun bir yavaslik bir yol yordam bilmezlik icinde calismaya devam eden firma. satin alinan urunun garanti kapsami icinde bozulmamasi icin gece gunduz dua edilmesi gerekiyor. zira bozulan cihazi geri goturdugunuzde cihazin gercekten bozuk oldugunu anlayip kaydini acarak geri alma suresi 1 saat. tamir suresi 30 takvim gunu uzerinde. ustune cihazin tamirden geldigini telefon edip ogrenebiliyorsunuz(kimse size donmuyor yani). ustune bir de tamir edildigini dusundugunuz cihazi almaya gittiginizde de aslinda sizin degil baskasina ait bir cihazin size verilmeye calisildigini, goruyorsunuz. tabi bunlar da yine yaklasik 1 saat suruyor. velhasil ucuzlukla musteri cekmeye calisan ama kotu servis yuzunden cok insan kacirdigini dusundugum bir garip firma.',yok
'web sitesi oldukça başarısız teknoloji marketi, ürün gruplarını tek kalemde listelemekte ve listeyi özelleştirme imkanı sunmamakta{marka, özellik vb.}, fiyata göre sıralamak mümkün olsa da onlarca sayfada dolanmak hiç de keyifli değil.',yok
'22 - 24 nisan arasındaki üç gün, öğrenci kimliği ibraz edenlerden kdv almayan teknoloji market. bayram çocuk bayramı ama üniversite öğrencilerine de aynı kıyağı geçiyorlar.',yok
'onlarcasi birden sergilenen laptop ya da monitor gibi bir urun alacaksaniz buyuk ihtimalle teshir urunu verebilen magazalar zinciridir. gerci zincir magazalarin cogu boyle, gene de urun alirken teshir urunu olmamasina dikkat edin.',yok
'hakkında sadece iyi şeyler yazabileceğim bir donanım perakendecisidir',yok
'aldıgım sims expansion pack inin şifresi ile register olmayı başaramayıp geri götürdügümde(bu şifre ile zaten register olunmuş deniyordu) bana paketin yenisini vermişlerdir. o yüzden severim kendilerini, gönül rahatlıgı ile oyun aldıgım bir yerdir.',yok
'teknosa ya göre tercih edilesi bir teknoloji mağazası. ha bana kalsa yazıcıoğlu ndan şaşmayın derim.',teknosa
'zaman zaman bazi urunleri piyasa fiyatinin cok altinda satisa sunarak musterilerini sasirtan firma. fakat bunun ne promosyonunun yapiyor, ne sitesinde duyuruyor, kendiniz magazada gezerken farketmediginiz surece faydalanamiyorsunuz. bir nevi easter egg gibi...',yok
'biraz önce forum bornova mağazalarından aldığım bilgi kitapçığının içinde asıl fiyatı 159$ olan packard bell store & save 500 mb kapasiteli ürünü en arka sayfada sanki çok indirim yapıyormuş gibi 1.000$ lık ürün satın alınca 199$ dan -e hani 159$ du?- 99$ a indirerek kurnazlık yapmaya çalışırken rezil olan firma.',yok
'hepsiburada.com da 639ytl olan urunu  # 897,00 ytl yerine sadece bimeks te 697,00 ytl  diye reklam yapan firma.',bimeks
'99 gun boyunca her gun bir urunun indirimde olacagi kampanyalarini tekrar baslatmis kendileri. ihtiyaciniz olan urunu, indirime girmesini bekleyip cok da cazip bir fiyata alabilirsiniz. takip edilmesinde yarar var.',yok
'99 gün boyunca indirimlerde sadece world carda taksit yapan firma.world cardınız yoksa ya peşin vermeniz(kartla tek çekim ya da nakit) ya da indirimden vazgeçmeniz gerekiyor.mp4 playerı alamadan döndüm bunun yüzünden.ama ihtiyacınız olan bir ürün bu 99 ürün içerisinde olursa kaçırmayın derim.',yok
'eskişehir espark avm deki mağazalarından kesinlikle alışveriş yapılmaması gereken firmadır.ayıplı ürün satmayı adet haline getirdiklerini ve bundan da zerre rahatsız olmadıklarını çalıştırdıkları personelin cehaletinden ve de pişkinliklerinden anlamanız için herhangi donanım ürünlerinden bir adet almanız yeterlidir.akabinde geçireceğiniz sinir krizleri ise yanınıza kardır.',yok
'bilgi işlemdeki elemanların oturup maç izlediğini düşündüğüm firmadır. genelde maç saatlerinde sitede güncelleme yapılmaz ama diğer günlerde saat 8 oldu mu hemen sitede güncelleme yapılır.',yok
'kadıköy mühürdar caddesi nde outlet mağazası vardır. ölü piksel sahibi monitörler, amalajı yırtılıp iade edilmiş, servis kaydı bulunan bilgisayar/elektronik ürünler indirimli olarak satılıyor. değer mi? sanmam.',yok
'yeşil sermaye kuruluşu olması kuvvetle muhtemeldir. bugün girdiğim bimekste, tüm televizyonlarda samanyolu tv açık ve içeride başları örtülmüş kızlar çalışmakta idi.',bimeks
'online alışveriş olanağı sunmayan bir internet sitesine sahip elektronik mağzalar zinciri.',yok
'sosyal fobiklerin alışveriş yapmakta zorlanacağını düşündüğüm teknoloji satış noktalarından biri. dolar ve euro üzerinden etiket koy, ondan sonra benim sosyal fobiğimin bütün cesaretini toplayıp, kasiyere tl. üzerinden fiyat sormasını ya da barkod okutmasını bekle. zaten zar zor elleri titreyerek şifre giriyor ya da para üstü bekliyor gariplerim sen gel hayatı daha da zorlaştır. (bkz: ama haksızlık bu öyle değil mi)',yok
'fiyatlari amerikan dolari uzerinden belirleyen, ancak dolarla odeme kabul etmeyen firma. cunku piyasaya gore yuksekce kurdan ytl hesaplayip oradan da kar ediyorlar.',yok
'iddia ediyoruz en iyi fiyat bizde, diye bir sloganları vardı;1-2 ay öncesine kadar...yalanın önde gidenidir,aynı ürünü başka bir mağazada çok daha ucuza alabilirsiniz,ayrıca yaptıkları indirimlerle bile diğer mağazalarla aynı fiyata inmektedir ürünlerinin fiyatı.',yok
'bugün itibarıyla onlardan aldığım ürünü alışveriş kompleksinin içinde diğer bir mağazada (üç adım ötede ayol) daha ucuz gördüğümdendir ki ürün iade girişiminde bulunduğumda -ki sebep olarak bittabii  daha ucuzunu gördüm  dedik- ambalajdan vs dem vuran teknoloji marketi.  hani siz ucuzunu gösterince bir şeyler yapıyordunuz  dediğimde ise benden belge istediler... belgesel taliplisi... çekeriz ne var! dilerlerse ürünleri bedava versinler, alışverişe gitmeyeceğim tükan. edüt: sloganları  daha ucuzunu bulun farkını ödeyelim miş.',yok
'artik kimse hd-dvd player ya da disk uretmedigi icin cope atilmis bir teknolojiye sahip oldugu halde 247 ytl den toshiba hd-dvd alana yaninda alacagi tv yi indirimli veren firma. tuketicinin haklarini korumak diye buna derim. yakinda 1970 lerden kalma betamax video stoklarini da eritmeye baslarlar.',yok
'şu anda bayrampaşa şehir parkında garaj günleri adında bi çadırları var 1 hafta boyunca outlet ürünlerde %50 indirim yapılıyor. kaçırılmamalı...',yok
